QUERY,L,LAT,SUBJECT_CODES_1,SUBJECT_CODES_2,SUBJECT_CODES_3,SUBJECT_CODES_4,SUBJECT_CODES_5,SUBJECT_CODES_6,SORT_BY,LOC,C,RAD,LQ,PAGE,LNG,SEN_COURSES,DEGREE_REQUIRED,FUNDING,FULLTIME,HAS_VACANCIES,PARTTIME,CAN_SPONSOR_VISA,QUALIFICATIONS
"UCL, University College London",3,,00,03,07,,,,,,,,,,,,,,,,,,
,1,53.748575,Q3,,,,,,2,"Blackburn, UK",England,50,Blackburn,,-2.487529,,,,false,true,false,,"QtsOnly,PgdePgceWithQts,Other"
,1,52.48624299999999,00,,,,,,2,"Birmingham, UK",England,50,Birmingham,3,-1.890401,,,,,,,,
Inspire Partnership,3,,00,,,,,,,,,,,,,,,,,,,,
,1,52.0488937,G1,C8,,,,,2,"Sudbury CO10 0GN, UK",England,50,Sudbury CO10 0GN,,0.7480313,,show_all_courses,8,true,true,true,,"QtsOnly,PgdePgceWithQts,Other"
,2,,,,,,,,,,,,,2,,true,,,,,,,
Seven Kings Learning Partnership,3,,F1,F0,,,,,,,,,,,,,,,,,,,
Red Kite Teacher Training,3,,00,,,,,,,,,,,,,,,,,,,,
,1,56.462018,C8,,,,,,2,"Dundee, UK",Scotland,50,Dundee,,-2.970721,,,,,,,,
,1,51.54615,C8,,,,,,2,"Durham Rd, Dagenham RM10 8AN, UK",England,50,RM10 8AN,,0.1643679,,show_all_courses,,true,true,true,,"QtsOnly,PgdePgceWithQts,Other"
,1,54.283113,11,,,,,,2,"Scarborough, UK",England,50,Scarborough,,-0.399752,,,,false,true,false,,"QtsOnly,PgdePgceWithQts,Other"
"",1,,,,,,,,,,,,London,,,,,,,,,,
,1,53.7464135,C6,,,,,,2,"Accrington BB5, UK",England,50,Accrington BB5,,-2.3532378,,,,,,,,
,1,52.48624299999999,00,,,,,,2,"Birmingham, UK",England,50,Birmingham,3,-1.890401,,,,,,,,
"",1,,,,,,,,,,,,London SE8 3FE,,,,,,,,,,
,1,53.867795,14,,,,,,2,"Keighley, UK",England,50,Keighley,,-1.912358,,,,,,,,
,2,,C1,F1,,,,,,,,,,3,,,two_two,,true,true,,true,"QtsOnly,PgdePgceWithQts,Other"
,1,51.5073509,C8,14,,,,,2,"London, UK",England,50,London,,-0.1277583,,,,,,,,
"",1,,,,,,,,,,,,Bristol BS2 8HW,,,,,,,,,,
,1,53.700621,C1,,,,,,2,"Oaklands Dr, Rawtenstall, Rossendale BB4 6SA, UK",England,50,"Oaklands Drive, Rawtenstall, Rossendale BB4 6SA",,-2.3019179,,show_all_courses,,true,true,false,,"PgdePgceWithQts,Other"
"",1,,,,,,,,,,,,"Fulton Crescent, Bishop's Stortford CM23 5DA",,,,,,,,,,
,1,53.700621,C1,,,,,,2,"Oaklands Dr, Rawtenstall, Rossendale BB4 6SA, UK",England,50,"Oaklands Drive, Rawtenstall, Rossendale BB4 6SA",,-2.3019179,,show_all_courses,,true,true,false,,"PgdePgceWithQts,Other"
,1,50.7855508,C1,F1,F3,,,,2,"Napier Rd, Southsea, Portsmouth, Southsea PO5, UK",England,50,"Napier Road, Southsea, Portsmouth, Southsea PO5 2RB",,-1.0798252,,,,,,,,
"",1,,,,,,,,,,,,"Green Lane, Crossways, Dorchester DT2 8BP",,,,,,,,,,
"",1,,,,,,,,,,,,Manchester,,,,,,,,,,
"",1,,,,,,,,,,,,OL3 7LQ,,,,,,,,,,
"",1,,,,,,,,,,,,Southampton SO16,,,,,,,,,,
royal masonic school,3,,,,,,,,,,,,"",,,,,,,,,,
